,Company,Rating,Reviews,company_type,salary,Interview_count,Jobs_available,highly_rated_for,critically_rated_for
777,Northern Trust,3.7k,1.1k,"Financial Services - Bangalore , Bengaluru +17 other locations",8.8k,114,1,N/A,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
778,ECIL,4.2k,1.1k,"Electronics Manufacturing - Hyderabad , Secunderabad +51 other locations",3.2k,53,1,"Work Life Balance, Company Culture, Work Satisfaction",N/A
779,Airtel Payments Bank,4.0k,1.1k,"Gurgaon , Gurugram +268 other locations",4.3k,87,26,"Company Culture, Work Life Balance, Job Security",N/A
780,FDC,3.9k,1.1k,Pharma - Mumbai +110 other locations,3.4k,55,7,Work Life Balance,Promotions / Appraisal
781,Iffco Tokio General Insurance Co.,4.0k,1.1k,"Insurance - Gurgaon , Gurugram +250 other locations",3.7k,41,2,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
782,TEKsystems,3.3k,1.1k,"IT Services & Consulting - Bangalore , Bengaluru +17 other locations",9.4k,123,9,N/A,"Promotions / Appraisal, Job Security, Skill Development / Learning"
783,iMerit,3.5k,1.1k,IT Services & Consulting - Kolkata +19 other locations,4.9k,103,18,N/A,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
784,Synchrony,4.3k,1.1k,"Financial Services - Hyderabad , Secunderabad +9 other locations",5k,81,38,"Company Culture, Job Security, Work Life Balance",N/A
785,TE Connectivity,4.1k,1.1k,"Electronics Manufacturing - Bangalore , Bengaluru +19 other locations",6.6k,87,196,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal
786,Apexon,3.3k,1.1k,"IT Services & Consulting - Bangalore , Bengaluru +18 other locations",8.3k,148,105,N/A,"Promotions / Appraisal, Job Security, Work Satisfaction"
787,Barclays Shared Services,3.9k,1.1k,IT Services & Consulting - Chennai +15 other locations,5.2k,33,622,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
788,ManpowerGroup,3.8k,1.1k,"Recruitment - Bangalore , Bengaluru +129 other locations",4.8k,59,22,N/A,"Promotions / Appraisal, Job Security, Skill Development / Learning"
789,Brillio,3.4k,1.1k,"IT Services & Consulting - Bangalore , Bengaluru +13 other locations",9.2k,137,16,N/A,"Promotions / Appraisal, Job Security, Work Satisfaction"
790,V5 Global Services,3.9k,1.1k,New Delhi +189 other locations,3.2k,70,11,N/A,Promotions / Appraisal
791,Nykaa,3.5k,1.1k,Internet - Mumbai +99 other locations,5.7k,125,13,N/A,"Promotions / Appraisal, Company Culture, Work Satisfaction"
792,Bajaj Housing Finance,3.7k,1.1k,NBFC - Pune +149 other locations,5.4k,60,33,N/A,"Work Life Balance, Company Culture, Work Satisfaction"
793,NextComm Corporation,4.9k,1.1k,Software Product - Chennai +10 other locations,32,6,--,"Company Culture, Work Life Balance, Promotions / Appraisal",N/A
794,SRL Diagnostics,4.1k,1.1k,Healthcare - Mumbai +123 other locations,2.9k,57,--,"Company Culture, Work Life Balance, Work Satisfaction",N/A
795,GEP Worldwide,3.7k,1.1k,IT Services & Consulting - Mumbai +16 other locations,8.1k,134,9,Company Culture,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
